label,tcc,tt_ccu,x_phi,y_eta,status
EB-13,49,52,259.0,-64.0,12.0
EB-13,49,52,260.0,-64.0,12.0
EB-09,45,51,175.0,-63.0,2.0
EB-14,50,47,274.0,-60.0,4.0
EB-02,38,45,23.0,-59.0,4.0
EB-14,50,45,262.0,-59.0,4.0
EB-14,50,45,265.0,-59.0,4.0
EB-14,50,47,274.0,-58.0,4.0
EB-14,50,48,277.0,-58.0,4.0
EB-15,51,46,290.0,-58.0,4.0
EB-02,38,46,30.0,-57.0,4.0
EB-14,50,45,261.0,-57.0,4.0
EB-15,51,46,287.0,-57.0,4.0
EB-05,41,48,100.0,-56.0,11.0
EB-14,50,46,267.0,-56.0,4.0
EB-07,43,42,126.0,-55.0,13.0
EB-07,43,42,127.0,-55.0,13.0
EB-07,43,42,128.0,-55.0,13.0
EB-07,43,42,129.0,-55.0,13.0
EB-07,43,42,130.0,-55.0,13.0
EB-04,40,42,67.0,-54.0,4.0
EB-07,43,42,126.0,-54.0,13.0
EB-07,43,42,127.0,-54.0,13.0
EB-07,43,42,128.0,-54.0,13.0
EB-07,43,42,129.0,-54.0,13.0
EB-07,43,42,130.0,-54.0,13.0
EB-06,42,43,113.0,-53.0,4.0
EB-07,43,42,126.0,-53.0,13.0
EB-07,43,42,127.0,-53.0,13.0
EB-07,43,42,128.0,-53.0,13.0
EB-07,43,42,129.0,-53.0,13.0
EB-07,43,42,130.0,-53.0,13.0
EB-07,43,42,126.0,-52.0,13.0
EB-07,43,42,127.0,-52.0,13.0
EB-07,43,42,128.0,-52.0,13.0
EB-07,43,42,129.0,-52.0,13.0
EB-07,43,42,130.0,-52.0,13.0
EB-01,37,44,17.0,-51.0,11.0
EB-07,43,42,126.0,-51.0,13.0
EB-07,43,42,127.0,-51.0,13.0
EB-07,43,42,128.0,-51.0,13.0
EB-07,43,42,129.0,-51.0,13.0
EB-07,43,42,130.0,-51.0,13.0
EB-10,46,44,196.0,-51.0,3.0
EB-14,50,39,271.0,-50.0,13.0
EB-14,50,39,272.0,-50.0,13.0
EB-14,50,39,273.0,-50.0,13.0
EB-14,50,39,274.0,-50.0,13.0
EB-14,50,39,275.0,-50.0,13.0
EB-04,40,37,65.0,-49.0,11.0
EB-14,50,39,271.0,-49.0,13.0
EB-14,50,39,272.0,-49.0,13.0
EB-14,50,39,273.0,-49.0,13.0
EB-14,50,39,274.0,-49.0,13.0
EB-14,50,39,275.0,-49.0,13.0
EB-14,50,39,271.0,-48.0,13.0
EB-14,50,39,272.0,-48.0,13.0
EB-14,50,39,273.0,-48.0,13.0
EB-14,50,39,274.0,-48.0,13.0
EB-14,50,39,275.0,-48.0,13.0
EB-14,50,39,271.0,-47.0,13.0
EB-14,50,39,272.0,-47.0,13.0
EB-14,50,39,273.0,-47.0,13.0
EB-14,50,39,274.0,-47.0,13.0
EB-14,50,39,275.0,-47.0,13.0
EB-14,50,39,271.0,-46.0,13.0
EB-14,50,39,272.0,-46.0,13.0
EB-14,50,39,273.0,-46.0,13.0
EB-14,50,39,274.0,-46.0,13.0
EB-14,50,39,275.0,-46.0,13.0
EB-08,44,36,160.0,-45.0,4.0
EB-13,49,33,241.0,-45.0,13.0
EB-13,49,33,242.0,-45.0,13.0
EB-13,49,33,243.0,-45.0,13.0
EB-13,49,33,244.0,-45.0,13.0
EB-13,49,33,245.0,-45.0,13.0
EB-17,53,34,326.0,-45.0,13.0
EB-17,53,34,327.0,-45.0,13.0
EB-17,53,34,328.0,-45.0,13.0
EB-17,53,34,329.0,-45.0,13.0
EB-17,53,34,330.0,-45.0,13.0
EB-17,53,36,340.0,-45.0,11.0
EB-13,49,33,241.0,-44.0,13.0
EB-13,49,33,242.0,-44.0,13.0
EB-13,49,33,243.0,-44.0,13.0
EB-13,49,33,244.0,-44.0,13.0
EB-13,49,33,245.0,-44.0,13.0
EB-16,52,36,320.0,-44.0,4.0
EB-17,53,34,326.0,-44.0,13.0
EB-17,53,34,327.0,-44.0,13.0
EB-17,53,34,328.0,-44.0,13.0
EB-17,53,34,329.0,-44.0,13.0
EB-17,53,34,330.0,-44.0,13.0
EB-10,46,34,187.0,-43.0,4.0
EB-13,49,33,241.0,-43.0,13.0
EB-13,49,33,242.0,-43.0,13.0
EB-13,49,33,243.0,-43.0,13.0
EB-13,49,33,244.0,-43.0,13.0
EB-13,49,33,245.0,-43.0,13.0
EB-17,53,34,326.0,-43.0,13.0
EB-17,53,34,327.0,-43.0,13.0
EB-17,53,34,328.0,-43.0,13.0
EB-17,53,34,329.0,-43.0,13.0
EB-17,53,34,330.0,-43.0,13.0
EB-13,49,33,241.0,-42.0,13.0
EB-13,49,33,242.0,-42.0,13.0
EB-13,49,33,243.0,-42.0,13.0
EB-13,49,33,244.0,-42.0,13.0
EB-13,49,33,245.0,-42.0,13.0
EB-17,53,34,326.0,-42.0,13.0
EB-17,53,34,327.0,-42.0,13.0
EB-17,53,34,328.0,-42.0,13.0
EB-17,53,34,329.0,-42.0,13.0
EB-17,53,34,330.0,-42.0,13.0
EB-09,45,33,163.0,-41.0,11.0
EB-13,49,33,241.0,-41.0,13.0
EB-13,49,33,242.0,-41.0,13.0
EB-13,49,33,243.0,-41.0,13.0
EB-13,49,33,244.0,-41.0,13.0
EB-13,49,33,245.0,-41.0,13.0
EB-17,53,34,326.0,-41.0,13.0
EB-17,53,34,327.0,-41.0,13.0
EB-17,53,34,328.0,-41.0,13.0
EB-17,53,34,329.0,-41.0,13.0
EB-17,53,34,330.0,-41.0,13.0
EB-01,37,31,11.0,-40.0,11.0
EB-09,45,30,169.0,-38.0,11.0
EB-10,46,30,188.0,-38.0,11.0
EB-17,53,32,336.0,-38.0,11.0
EB-05,41,27,92.0,-35.0,4.0
EB-07,43,27,131.0,-35.0,3.0
EB-04,40,25,65.0,-34.0,11.0
EB-02,38,26,26.0,-32.0,4.0
EB-09,45,22,166.0,-30.0,13.0
EB-09,45,22,167.0,-30.0,13.0
EB-09,45,22,168.0,-30.0,13.0
EB-09,45,22,169.0,-30.0,13.0
EB-09,45,22,170.0,-30.0,13.0
EB-13,49,21,241.0,-30.0,11.0
EB-13,49,21,245.0,-30.0,11.0
EB-09,45,22,166.0,-29.0,13.0
EB-09,45,22,167.0,-29.0,13.0
EB-09,45,22,168.0,-29.0,13.0
EB-09,45,22,169.0,-29.0,13.0
EB-09,45,22,170.0,-29.0,13.0
EB-05,41,22,86.0,-28.0,11.0
EB-09,45,22,166.0,-28.0,13.0
EB-09,45,22,167.0,-28.0,13.0
EB-09,45,22,168.0,-28.0,13.0
EB-09,45,22,169.0,-28.0,13.0
EB-09,45,22,170.0,-28.0,13.0
EB-09,45,22,166.0,-27.0,13.0
EB-09,45,22,167.0,-27.0,13.0
EB-09,45,22,168.0,-27.0,13.0
EB-09,45,22,169.0,-27.0,13.0
EB-09,45,22,170.0,-27.0,13.0
EB-09,45,22,166.0,-26.0,13.0
EB-09,45,22,167.0,-26.0,13.0
EB-09,45,22,168.0,-26.0,13.0
EB-09,45,22,169.0,-26.0,13.0
EB-09,45,22,170.0,-26.0,13.0
EB-08,44,17,141.0,-25.0,11.0
EB-13,49,20,259.0,-25.0,11.0
EB-16,52,17,301.0,-25.0,2.0
EB-09,45,20,180.0,-24.0,11.0
EB-10,46,18,188.0,-24.0,4.0
EB-06,42,17,101.0,-23.0,11.0
EB-10,46,18,187.0,-21.0,11.0
EB-13,49,18,247.0,-21.0,11.0
EB-13,49,20,260.0,-21.0,4.0
EB-02,38,13,21.0,-20.0,14.0
EB-02,38,13,22.0,-20.0,14.0
EB-02,38,13,23.0,-20.0,14.0
EB-02,38,13,24.0,-20.0,14.0
EB-02,38,13,25.0,-20.0,14.0
EB-02,38,13,21.0,-19.0,14.0
EB-02,38,13,22.0,-19.0,14.0
EB-02,38,13,23.0,-19.0,14.0
EB-02,38,13,24.0,-19.0,14.0
EB-02,38,13,25.0,-19.0,14.0
EB-02,38,13,21.0,-18.0,14.0
EB-02,38,13,22.0,-18.0,14.0
EB-02,38,13,23.0,-18.0,14.0
EB-02,38,13,24.0,-18.0,14.0
EB-02,38,13,25.0,-18.0,14.0
EB-02,38,13,21.0,-17.0,14.0
EB-02,38,13,22.0,-17.0,14.0
EB-02,38,13,23.0,-17.0,14.0
EB-02,38,13,24.0,-17.0,14.0
EB-02,38,13,25.0,-17.0,14.0
EB-15,51,14,289.0,-17.0,11.0
EB-02,38,13,21.0,-16.0,14.0
EB-02,38,13,22.0,-16.0,14.0
EB-02,38,13,23.0,-16.0,14.0
EB-02,38,13,24.0,-16.0,14.0
EB-02,38,13,25.0,-16.0,14.0
EB-06,42,14,107.0,-16.0,2.0
EB-01,37,12,16.0,-15.0,13.0
EB-01,37,12,17.0,-15.0,13.0
EB-01,37,12,18.0,-15.0,13.0
EB-01,37,12,19.0,-15.0,13.0
EB-01,37,12,20.0,-15.0,13.0
EB-04,40,9,64.0,-15.0,3.0
EB-16,52,9,304.0,-15.0,2.0
EB-01,37,12,16.0,-14.0,13.0
EB-01,37,12,17.0,-14.0,13.0
EB-01,37,12,18.0,-14.0,13.0
EB-01,37,12,19.0,-14.0,13.0
EB-01,37,12,20.0,-14.0,13.0
EB-01,37,12,16.0,-13.0,13.0
EB-01,37,12,17.0,-13.0,13.0
EB-01,37,12,18.0,-13.0,13.0
EB-01,37,12,19.0,-13.0,13.0
EB-01,37,12,20.0,-13.0,13.0
EB-03,39,12,60.0,-13.0,10.0
EB-07,43,11,135.0,-13.0,3.0
EB-01,37,12,16.0,-12.0,13.0
EB-01,37,12,17.0,-12.0,13.0
EB-01,37,12,18.0,-12.0,13.0
EB-01,37,12,19.0,-12.0,13.0
EB-01,37,12,20.0,-12.0,13.0
EB-01,37,12,16.0,-11.0,13.0
EB-01,37,12,17.0,-11.0,13.0
EB-01,37,12,18.0,-11.0,13.0
EB-01,37,12,19.0,-11.0,13.0
EB-01,37,12,20.0,-11.0,13.0
EB-10,46,11,193.0,-11.0,11.0
EB-14,50,10,267.0,-11.0,8.0
EB-02,38,8,39.0,-10.0,10.0
EB-03,39,6,50.0,-10.0,11.0
EB-03,39,7,51.0,-10.0,13.0
EB-03,39,7,52.0,-10.0,13.0
EB-03,39,7,53.0,-10.0,13.0
EB-03,39,7,54.0,-10.0,13.0
EB-03,39,7,55.0,-10.0,13.0
EB-12,48,5,221.0,-10.0,13.0
EB-12,48,5,222.0,-10.0,13.0
EB-12,48,5,223.0,-10.0,13.0
EB-12,48,5,224.0,-10.0,13.0
EB-12,48,5,225.0,-10.0,13.0
EB-03,39,7,51.0,-9.0,13.0
EB-03,39,7,52.0,-9.0,13.0
EB-03,39,7,53.0,-9.0,13.0
EB-03,39,7,54.0,-9.0,13.0
EB-03,39,7,55.0,-9.0,13.0
EB-12,48,5,221.0,-9.0,13.0
EB-12,48,5,222.0,-9.0,13.0
EB-12,48,5,223.0,-9.0,13.0
EB-12,48,5,224.0,-9.0,13.0
EB-12,48,5,225.0,-9.0,13.0
EB-03,39,7,51.0,-8.0,13.0
EB-03,39,7,52.0,-8.0,13.0
EB-03,39,7,53.0,-8.0,13.0
EB-03,39,7,54.0,-8.0,13.0
EB-03,39,7,55.0,-8.0,13.0
EB-12,48,5,221.0,-8.0,13.0
EB-12,48,5,222.0,-8.0,13.0
EB-12,48,5,223.0,-8.0,13.0
EB-12,48,5,224.0,-8.0,13.0
EB-12,48,5,225.0,-8.0,13.0
EB-03,39,7,51.0,-7.0,13.0
EB-03,39,7,52.0,-7.0,13.0
EB-03,39,7,53.0,-7.0,13.0
EB-03,39,7,54.0,-7.0,13.0
EB-03,39,7,55.0,-7.0,13.0
EB-04,40,5,61.0,-7.0,3.0
EB-12,48,5,221.0,-7.0,13.0
EB-12,48,5,222.0,-7.0,13.0
EB-12,48,5,223.0,-7.0,13.0
EB-12,48,5,224.0,-7.0,13.0
EB-12,48,5,225.0,-7.0,13.0
EB-02,38,7,33.0,-6.0,11.0
EB-03,39,5,42.0,-6.0,4.0
EB-03,39,7,51.0,-6.0,13.0
EB-03,39,7,52.0,-6.0,13.0
EB-03,39,7,53.0,-6.0,13.0
EB-03,39,7,54.0,-6.0,13.0
EB-03,39,7,55.0,-6.0,13.0
EB-10,46,6,186.0,-6.0,3.0
EB-12,48,5,221.0,-6.0,13.0
EB-12,48,5,222.0,-6.0,13.0
EB-12,48,5,223.0,-6.0,13.0
EB-12,48,5,224.0,-6.0,13.0
EB-12,48,5,225.0,-6.0,13.0
EB-04,40,1,61.0,-5.0,13.0
EB-04,40,1,62.0,-5.0,13.0
EB-04,40,1,63.0,-5.0,13.0
EB-04,40,1,64.0,-5.0,13.0
EB-04,40,1,65.0,-5.0,13.0
EB-08,44,2,149.0,-5.0,2.0
EB-04,40,1,61.0,-4.0,13.0
EB-04,40,1,62.0,-4.0,13.0
EB-04,40,1,63.0,-4.0,13.0
EB-04,40,1,64.0,-4.0,13.0
EB-04,40,1,65.0,-4.0,13.0
EB-04,40,1,61.0,-3.0,13.0
EB-04,40,1,62.0,-3.0,13.0
EB-04,40,1,63.0,-3.0,13.0
EB-04,40,1,64.0,-3.0,13.0
EB-04,40,1,65.0,-3.0,13.0
EB-06,42,1,104.0,-3.0,4.0
EB-08,44,4,160.0,-3.0,2.0
EB-04,40,1,61.0,-2.0,13.0
EB-04,40,1,62.0,-2.0,13.0
EB-04,40,1,63.0,-2.0,13.0
EB-04,40,1,64.0,-2.0,13.0
EB-04,40,1,65.0,-2.0,13.0
EB-10,46,4,200.0,-2.0,4.0
EB-04,40,1,61.0,-1.0,13.0
EB-04,40,1,62.0,-1.0,13.0
EB-04,40,1,63.0,-1.0,13.0
EB-04,40,1,64.0,-1.0,13.0
EB-04,40,1,65.0,-1.0,13.0
EB-10,46,2,186.0,-1.0,4.0
EB-14,50,1,262.0,-1.0,11.0
EB-15,51,4,299.0,-1.0,1.0
EB+02,56,4,21.0,4.0,11.0
EB+03,57,4,41.0,4.0,11.0
EB+04,58,3,70.0,4.0,4.0
EB+06,60,2,113.0,4.0,2.0
EB+03,57,4,41.0,5.0,11.0
EB+08,62,1,160.0,5.0,11.0
EB+06,60,6,111.0,6.0,13.0
EB+06,60,6,112.0,6.0,13.0
EB+06,60,6,113.0,6.0,13.0
EB+06,60,6,114.0,6.0,13.0
EB+06,60,6,115.0,6.0,13.0
EB+10,64,8,183.0,6.0,11.0
EB+10,64,7,190.0,6.0,4.0
EB+11,65,6,215.0,6.0,11.0
EB+15,69,6,291.0,6.0,11.0
EB+06,60,6,111.0,7.0,13.0
EB+06,60,6,112.0,7.0,13.0
EB+06,60,6,113.0,7.0,13.0
EB+06,60,6,114.0,7.0,13.0
EB+06,60,6,115.0,7.0,13.0
EB+18,72,8,342.0,7.0,11.0
EB+06,60,6,111.0,8.0,13.0
EB+06,60,6,112.0,8.0,13.0
EB+06,60,6,113.0,8.0,13.0
EB+06,60,6,114.0,8.0,13.0
EB+06,60,6,115.0,8.0,13.0
EB+09,63,8,161.0,8.0,11.0
EB+16,70,5,318.0,8.0,11.0
EB+06,60,6,111.0,9.0,13.0
EB+06,60,6,112.0,9.0,13.0
EB+06,60,6,113.0,9.0,13.0
EB+06,60,6,114.0,9.0,13.0
EB+06,60,6,115.0,9.0,13.0
EB+06,60,6,111.0,10.0,13.0
EB+06,60,6,112.0,10.0,13.0
EB+06,60,6,113.0,10.0,13.0
EB+06,60,6,114.0,10.0,13.0
EB+06,60,6,115.0,10.0,13.0
EB+08,62,6,155.0,10.0,2.0
EB+04,58,11,68.0,11.0,11.0
EB+09,63,11,167.0,12.0,2.0
EB+04,58,11,67.0,13.0,4.0
EB+04,58,13,76.0,16.0,3.0
EB+16,70,15,310.0,17.0,11.0
EB+04,58,15,70.0,20.0,4.0
EB+09,63,14,171.0,20.0,11.0
EB+16,70,14,312.0,20.0,4.0
EB+11,65,17,216.0,23.0,1.0
EB+06,60,21,118.0,26.0,11.0
EB+03,57,26,53.0,31.0,11.0
EB+09,63,26,172.0,31.0,4.0
EB+13,67,26,253.0,31.0,4.0
EB+01,55,27,6.0,33.0,11.0
EB+17,71,27,326.0,34.0,11.0
EB+03,57,31,48.0,36.0,11.0
EB+01,55,30,15.0,37.0,11.0
EB+13,67,31,246.0,40.0,11.0
EB+04,58,33,80.0,41.0,2.0
EB+13,67,36,244.0,43.0,11.0
EB+16,70,35,307.0,44.0,4.0
EB+01,55,33,17.0,45.0,11.0
EB+09,63,34,175.0,45.0,4.0
EB+09,63,33,180.0,45.0,4.0
EB+18,72,36,343.0,45.0,11.0
EB+17,71,39,329.0,46.0,4.0
EB+17,71,37,336.0,49.0,11.0
EB+02,56,42,31.0,51.0,12.0
EB+02,56,42,32.0,51.0,12.0
EB+02,56,42,33.0,51.0,12.0
EB+02,56,42,34.0,51.0,12.0
EB+02,56,42,35.0,51.0,12.0
EB+06,60,43,106.0,51.0,13.0
EB+06,60,43,107.0,51.0,13.0
EB+06,60,43,108.0,51.0,13.0
EB+06,60,43,109.0,51.0,13.0
EB+06,60,43,110.0,51.0,13.0
EB+09,63,42,171.0,51.0,14.0
EB+09,63,42,172.0,51.0,14.0
EB+09,63,42,173.0,51.0,14.0
EB+09,63,42,174.0,51.0,14.0
EB+09,63,42,175.0,51.0,14.0
EB+06,60,43,106.0,52.0,13.0
EB+06,60,43,107.0,52.0,13.0
EB+06,60,43,108.0,52.0,13.0
EB+06,60,43,109.0,52.0,13.0
EB+06,60,43,110.0,52.0,13.0
EB+09,63,42,171.0,52.0,14.0
EB+09,63,42,172.0,52.0,14.0
EB+09,63,42,173.0,52.0,14.0
EB+09,63,42,174.0,52.0,14.0
EB+09,63,42,175.0,52.0,14.0
EB+12,66,43,230.0,52.0,2.0
EB+13,67,41,258.0,52.0,11.0
EB+06,60,43,106.0,53.0,13.0
EB+06,60,43,107.0,53.0,13.0
EB+06,60,43,108.0,53.0,13.0
EB+06,60,43,109.0,53.0,13.0
EB+06,60,43,110.0,53.0,13.0
EB+09,63,42,171.0,53.0,14.0
EB+09,63,42,172.0,53.0,14.0
EB+09,63,42,173.0,53.0,14.0
EB+09,63,42,174.0,53.0,14.0
EB+09,63,42,175.0,53.0,14.0
EB+13,67,41,257.0,53.0,4.0
EB+13,67,41,260.0,53.0,4.0
EB+06,60,43,106.0,54.0,13.0
EB+06,60,43,107.0,54.0,13.0
EB+06,60,43,108.0,54.0,13.0
EB+06,60,43,109.0,54.0,13.0
EB+06,60,43,110.0,54.0,13.0
EB+09,63,42,171.0,54.0,14.0
EB+09,63,42,172.0,54.0,14.0
EB+09,63,42,173.0,54.0,14.0
EB+09,63,42,174.0,54.0,14.0
EB+09,63,42,175.0,54.0,14.0
EB+10,64,43,188.0,54.0,3.0
EB+06,60,43,106.0,55.0,13.0
EB+06,60,43,107.0,55.0,13.0
EB+06,60,43,108.0,55.0,13.0
EB+06,60,43,109.0,55.0,13.0
EB+06,60,43,110.0,55.0,13.0
EB+09,63,42,171.0,55.0,14.0
